Title,Year,Age,Platform,Occurrence,Rating type,Score
Travelers,2016,16+,Netflix,1,Rotten Tomatoes,77
StartUp,2016,18+,Netflix,1,Rotten Tomatoes,77
Ripper Street,2012,18+,Netflix,1,Rotten Tomatoes,77
Episodes,2011,18+,Netflix,1,Rotten Tomatoes,77
Crazy Ex-Girlfriend,2015,16+,Netflix,1,Rotten Tomatoes,76
Bloodline,2015,18+,Netflix,1,Rotten Tomatoes,76
Black Summer,2019,18+,Netflix,1,Rotten Tomatoes,76
The Borgias,2011,18+,Netflix,1,Rotten Tomatoes,76
Glee,2009,16+,Netflix,1,Rotten Tomatoes,76
The Stranger,2020,18+,Netflix,1,Rotten Tomatoes,76
Virgin River,2019,16+,Netflix,1,Rotten Tomatoes,76
Lilyhammer,2012,18+,Netflix,1,Rotten Tomatoes,76
Dirty John,2018,18+,Netflix,1,Rotten Tomatoes,76
TURN: Washington's Spies,2014,16+,Netflix,1,Rotten Tomatoes,76
Star Trek: Enterprise,2001,7+,Netflix,1,Rotten Tomatoes,76
She-Ra and the Princesses of Power,2018,all,Netflix,1,Rotten Tomatoes,75
Merlin,2008,7+,Netflix,1,Rotten Tomatoes,75
The Magicians,2015,16+,Netflix,1,Rotten Tomatoes,75
Ginny & Georgia,2021,16+,Netflix,1,Rotten Tomatoes,75
The Spy,2019,18+,Netflix,1,Rotten Tomatoes,75
On My Block,2018,16+,Netflix,1,Rotten Tomatoes,75
The Movies That Made Us,2019,18+,Netflix,1,Rotten Tomatoes,75
Chef's Table,2015,all,Netflix,1,Rotten Tomatoes,75
Biohackers,2020,18+,Netflix,1,Rotten Tomatoes,75
The Seven Deadly Sins,2014,16+,Netflix,1,Rotten Tomatoes,75
The Keepers,2017,16+,Netflix,1,Rotten Tomatoes,75
F is for Family,2015,18+,Netflix,1,Rotten Tomatoes,74
The Midnight Gospel,2020,18+,Netflix,1,Rotten Tomatoes,74
Ragnarok,2020,18+,Netflix,1,Rotten Tomatoes,74
Legacies,2018,16+,Netflix,1,Rotten Tomatoes,74
The Order,2019,18+,Netflix,1,Rotten Tomatoes,74
Disenchantment,2018,16+,Netflix,1,Rotten Tomatoes,74
Dead Set,2008,18+,Netflix,1,Rotten Tomatoes,74
Dirty Money,2018,16+,Netflix,1,Rotten Tomatoes,74
The Staircase,2005,16+,Netflix,1,Rotten Tomatoes,74
Soul Eater,2008,16+,Netflix,1,Rotten Tomatoes,74
Into the Night,2020,18+,Netflix,1,Rotten Tomatoes,74
Julie and the Phantoms,2020,7+,Netflix,1,Rotten Tomatoes,74
Leyla ile Mecnun,2011,7+,Netflix,1,Rotten Tomatoes,74
Living with Yourself,2019,18+,Netflix,1,Rotten Tomatoes,74
Hilda,2018,7+,Netflix,1,Rotten Tomatoes,74
The Mechanism,2018,18+,Netflix,1,Rotten Tomatoes,74
ERASED,2016,16+,Netflix,1,Rotten Tomatoes,74
Formula 1: Drive to Survive,2019,16+,Netflix,1,Rotten Tomatoes,74
Don't F**k with Cats: Hunting an Internet Killer,2019,18+,Netflix,1,Rotten Tomatoes,74
Kim's Convenience,2016,16+,Netflix,1,Rotten Tomatoes,73
The Society,2019,18+,Netflix,1,Rotten Tomatoes,73
Imposters,2017,16+,Netflix,1,Rotten Tomatoes,73
Frequency,2016,7+,Netflix,1,Rotten Tomatoes,73
Wentworth,2013,18+,Netflix,1,Rotten Tomatoes,73
Marvel's Iron Fist,2017,18+,Netflix,1,Rotten Tomatoes,73
Bleach,2004,18+,Netflix,1,Rotten Tomatoes,73
Quantico,2015,16+,Netflix,1,Rotten Tomatoes,73
Shooter,2016,16+,Netflix,1,Rotten Tomatoes,73
Hollywood,2020,18+,Netflix,1,Rotten Tomatoes,73
Madam Secretary,2014,16+,Netflix,1,Rotten Tomatoes,73
Last Tango in Halifax,2012,16+,Netflix,1,Rotten Tomatoes,73
Safe,2018,18+,Netflix,1,Rotten Tomatoes,73
Resurrection: Ertugrul,2014,16+,Netflix,1,Rotten Tomatoes,73
Versailles,2015,18+,Netflix,1,Rotten Tomatoes,73
Sex/Life,2021,18+,Netflix,1,Rotten Tomatoes,73
Fullmetal Alchemist,2003,16+,Netflix,1,Rotten Tomatoes,73
Marianne,2019,18+,Netflix,1,Rotten Tomatoes,73
Five Came Back,2017,16+,Netflix,1,Rotten Tomatoes,73
Miraculous: Tales of Ladybug & Cat Noir,2015,7+,Netflix,1,Rotten Tomatoes,73
Abstract: The Art of Design,2017,16+,Netflix,1,Rotten Tomatoes,73
Teenage Bounty Hunters,2020,18+,Netflix,1,Rotten Tomatoes,72
Documentary Now!,2015,18+,Netflix,1,Rotten Tomatoes,72
Special,2019,18+,Netflix,1,Rotten Tomatoes,72
JoJo's Bizarre Adventure,2012,18+,Netflix,1,Rotten Tomatoes,72
Manhunt,2017,16+,Netflix,1,Rotten Tomatoes,72
Your Lie in April,2014,7+,Netflix,1,Rotten Tomatoes,72
Code Geass: Lelouch of the Rebellion,2006,18+,Netflix,1,Rotten Tomatoes,72
Middleditch & Schwartz,2020,18+,Netflix,1,Rotten Tomatoes,72
Zoo,2015,16+,Netflix,1,Rotten Tomatoes,72
Jupiters Legacy,2021,18+,Netflix,1,Rotten Tomatoes,72
Ratched,2020,18+,Netflix,1,Rotten Tomatoes,72
Babylon Berlin,2017,18+,Netflix,1,Rotten Tomatoes,72
Everything Sucks!,2018,16+,Netflix,1,Rotten Tomatoes,72
Evil Genius,2018,18+,Netflix,1,Rotten Tomatoes,72
Doctor Foster,2015,16+,Netflix,1,Rotten Tomatoes,72
Marcella,2016,18+,Netflix,1,Rotten Tomatoes,72
Survivor,2000,7+,Netflix,1,Rotten Tomatoes,72
Derek,2013,7+,Netflix,1,Rotten Tomatoes,72
3%,2016,18+,Netflix,1,Rotten Tomatoes,72
Tuca & Bertie,2019,18+,Netflix,1,Rotten Tomatoes,72
Parasyte -the maxim-,2014,18+,Netflix,1,Rotten Tomatoes,72
Last Chance U,2016,16+,Netflix,1,Rotten Tomatoes,71
Trailer Park Boys,2001,18+,Netflix,1,Rotten Tomatoes,71
Black Lightning,2018,16+,Netflix,1,Rotten Tomatoes,71
Chicago Med,2015,16+,Netflix,1,Rotten Tomatoes,71
How to Sell Drugs Online (Fast),2019,18+,Netflix,1,Rotten Tomatoes,71
Secret City,2016,18+,Netflix,1,Rotten Tomatoes,71
Dynasty,2017,16+,Netflix,1,Rotten Tomatoes,71
Dracula,2020,18+,Netflix,1,Rotten Tomatoes,71
Space Force,2020,18+,Netflix,1,Rotten Tomatoes,71
Pretend It's a City,2021,16+,Netflix,1,Rotten Tomatoes,71
Masters of the Universe: Revelation,2021,7+,Netflix,1,Rotten Tomatoes,71
iCarly,2007,all,Netflix,1,Rotten Tomatoes,71
Who Killed Sara?,2021,18+,Netflix,1,Rotten Tomatoes,71
Sword Art Online,2012,18+,Netflix,1,Rotten Tomatoes,71
Paranormal,2020,7+,Netflix,1,Rotten Tomatoes,71
Frontier,2016,18+,Netflix,1,Rotten Tomatoes,71
The Politician,2019,16+,Netflix,1,Rotten Tomatoes,71
Raising Dion,2019,7+,Netflix,1,Rotten Tomatoes,71
Food Wars! Shokugeki no Soma,2015,18+,Netflix,1,Rotten Tomatoes,71
Crash Landing on You,2019,16+,Netflix,1,Rotten Tomatoes,71
Seven Seconds,2018,18+,Netflix,1,Rotten Tomatoes,71
The Great British Bake Off,2010,7+,Netflix,1,Rotten Tomatoes,70
Wizards: Tales of Arcadia,2020,7+,Netflix,1,Rotten Tomatoes,70
Conversations with a Killer: The Ted Bundy Tapes,2019,18+,Netflix,1,Rotten Tomatoes,70
Fate: The Winx Saga,2021,18+,Netflix,1,Rotten Tomatoes,70
The Circle,2020,18+,Netflix,1,Rotten Tomatoes,70
Cheer,2020,16+,Netflix,1,Rotten Tomatoes,70
Hemlock Grove,2013,18+,Netflix,1,Rotten Tomatoes,70
Transformers: War for Cybertron: Siege,2020,16+,Netflix,1,Rotten Tomatoes,70
Explained,2018,16+,Netflix,1,Rotten Tomatoes,70
Messiah,2020,18+,Netflix,1,Rotten Tomatoes,70
Sky Rojo,2021,18+,Netflix,1,Rotten Tomatoes,70
Bonding,2019,18+,Netflix,1,Rotten Tomatoes,70
I'm Sorry,2017,7+,Netflix,1,Rotten Tomatoes,70
Katla,2021,18+,Netflix,1,Rotten Tomatoes,70
It's Okay to Not Be Okay,2020,16+,Netflix,1,Rotten Tomatoes,70
Workin' Moms,2017,18+,Netflix,1,Rotten Tomatoes,70
The Toys That Made Us,2017,16+,Netflix,1,Rotten Tomatoes,70
The Devil Next Door,2019,18+,Netflix,1,Rotten Tomatoes,70
Kipo and the Age of Wonderbeasts,2020,7+,Netflix,1,Rotten Tomatoes,70
"Roswell, New Mexico",2019,16+,Netflix,1,Rotten Tomatoes,70
Night Stalker: The Hunt For a Serial Killer,2021,18+,Netflix,1,Rotten Tomatoes,70
Glitch,2015,16+,Netflix,1,Rotten Tomatoes,70
Great Pretender,2020,18+,Netflix,1,Rotten Tomatoes,69
InuYasha,2000,16+,Netflix,1,Rotten Tomatoes,69
In the Dark,2019,16+,Netflix,1,Rotten Tomatoes,69
GHOUL,2018,18+,Netflix,1,Rotten Tomatoes,69
Nailed It!,2018,7+,Netflix,1,Rotten Tomatoes,69
Voltron: Legendary Defender,2016,7+,Netflix,1,Rotten Tomatoes,69
Trollhunters: Tales of Arcadia,2016,7+,Netflix,1,Rotten Tomatoes,69
Sweet Magnolias,2020,16+,Netflix,1,Rotten Tomatoes,69
Medici: Masters of Florence,2016,7+,Netflix,1,Rotten Tomatoes,69
Aggretsuko,2018,16+,Netflix,1,Rotten Tomatoes,69
Jurassic World: Camp Cretaceous,2020,7+,Netflix,1,Rotten Tomatoes,69
Rake,2010,16+,Netflix,1,Rotten Tomatoes,69
The Gift,2019,18+,Netflix,1,Rotten Tomatoes,69
Violet Evergarden,2018,16+,Netflix,1,Rotten Tomatoes,69
3Below: Tales of Arcadia,2018,7+,Netflix,1,Rotten Tomatoes,69
Jeffrey Epstein: Filthy Rich,2020,18+,Netflix,1,Rotten Tomatoes,69
Private Practice,2007,16+,Netflix,1,Rotten Tomatoes,69
Beauty and the Beast,2012,7+,Netflix,1,Rotten Tomatoes,69
Daybreak,2019,18+,Netflix,1,Rotten Tomatoes,69
Easy,2016,18+,Netflix,1,Rotten Tomatoes,69
Behind Her Eyes,2021,18+,Netflix,1,Rotten Tomatoes,68
Collateral,2018,18+,Netflix,1,Rotten Tomatoes,68
Knightfall,2017,16+,Netflix,1,Rotten Tomatoes,68
The Confession Killer,2019,16+,Netflix,1,Rotten Tomatoes,68
Sophie: A Murder In West Cork,2021,18+,Netflix,1,Rotten Tomatoes,68
Call My Agent!,2015,16+,Netflix,1,Rotten Tomatoes,68
My Little Pony: Friendship Is Magic,2010,7+,Netflix,1,Rotten Tomatoes,68
Leah Remini: Scientology and the Aftermath,2016,16+,Netflix,1,Rotten Tomatoes,68
Containment,2016,16+,Netflix,1,Rotten Tomatoes,68
Z Nation,2014,16+,Netflix,1,Rotten Tomatoes,68
Emily in Paris,2020,18+,Netflix,1,Rotten Tomatoes,68
Victorious,2010,7+,Netflix,1,Rotten Tomatoes,68
Scream: The TV Series,2015,16+,Netflix,1,Rotten Tomatoes,68
Akame ga Kill!,2014,18+,Netflix,1,Rotten Tomatoes,68
Warrior Nun,2020,18+,Netflix,1,Rotten Tomatoes,68
Bad Blood,2017,18+,Netflix,1,Rotten Tomatoes,68
Young & Hungry,2014,16+,Netflix,1,Rotten Tomatoes,68
Caliphate,2020,18+,Netflix,1,Rotten Tomatoes,68
Good Witch,2015,7+,Netflix,1,Rotten Tomatoes,68
Gilmore Girls: A Year in the Life,2016,16+,Netflix,1,Rotten Tomatoes,68
Aquarius,2015,16+,Netflix,1,Rotten Tomatoes,68
Firefly Lane,2021,18+,Netflix,1,Rotten Tomatoes,67
White Gold,2017,18+,Netflix,1,Rotten Tomatoes,67
Hyperdrive,2019,7+,Netflix,1,Rotten Tomatoes,67
Ninjago: Masters of Spinjitzu,2012,all,Netflix,1,Rotten Tomatoes,67
BEASTARS,2019,18+,Netflix,1,Rotten Tomatoes,67
Kill la Kill,2013,18+,Netflix,1,Rotten Tomatoes,67
Down to Earth with Zac Efron,2020,7+,Netflix,1,Rotten Tomatoes,67
Ancient Aliens,2010,7+,Netflix,1,Rotten Tomatoes,67
Slasher,2016,18+,Netflix,1,Rotten Tomatoes,67
Time: The Kalief Browder Story,2017,16+,Netflix,1,Rotten Tomatoes,67
Away,2020,16+,Netflix,1,Rotten Tomatoes,67
No Tomorrow,2016,7+,Netflix,1,Rotten Tomatoes,67
Locked Up,2015,18+,Netflix,1,Rotten Tomatoes,67
The Frankenstein Chronicles,2015,16+,Netflix,1,Rotten Tomatoes,67
The Ranch,2016,16+,Netflix,1,Rotten Tomatoes,67
Cursed,2020,18+,Netflix,1,Rotten Tomatoes,67
Wu Assassins,2019,18+,Netflix,1,Rotten Tomatoes,67
Mr. Sunshine,2018,18+,Netflix,1,Rotten Tomatoes,67
The Unicorn,2019,7+,Netflix,1,Rotten Tomatoes,67
Anohana: The Flower We Saw That Day,2011,16+,Netflix,1,Rotten Tomatoes,67
Gypsy,2017,18+,Netflix,1,Rotten Tomatoes,67
Fuller House,2016,7+,Netflix,1,Rotten Tomatoes,67
Killer Inside: The Mind of Aaron Hernandez,2020,18+,Netflix,1,Rotten Tomatoes,67
RESIDENT EVIL: Infinite Darkness,2021,18+,Netflix,1,Rotten Tomatoes,67
1983,2018,18+,Netflix,1,Rotten Tomatoes,67
Wet Hot American Summer: First Day of Camp,2015,16+,Netflix,1,Rotten Tomatoes,67
The Baker and the Beauty,2020,16+,Netflix,1,Rotten Tomatoes,67
Spinning Out,2020,18+,Netflix,1,Rotten Tomatoes,67
Trinkets,2019,18+,Netflix,1,Rotten Tomatoes,67
Insatiable,2018,18+,Netflix,1,Rotten Tomatoes,67
The Chalet,2018,18+,Netflix,1,Rotten Tomatoes,67
We Bare Bears,2015,7+,Netflix,1,Rotten Tomatoes,67
Gurren Lagann,2007,16+,Netflix,1,Rotten Tomatoes,66
Friends from College,2017,18+,Netflix,1,Rotten Tomatoes,66
Jericho,2006,16+,Netflix,1,Rotten Tomatoes,66
Tidelands,2018,18+,Netflix,1,Rotten Tomatoes,66
Dear White People,2017,18+,Netflix,1,Rotten Tomatoes,66
Dare Me,2019,18+,Netflix,1,Rotten Tomatoes,66
Ouran High School Host Club,2006,16+,Netflix,1,Rotten Tomatoes,66
Scooby-Doo! Mystery Incorporated,2010,7+,Netflix,1,Rotten Tomatoes,66
The Untamed,2019,16+,Netflix,1,Rotten Tomatoes,66
Stranger,2017,18+,Netflix,1,Rotten Tomatoes,66
El Chapo,2017,18+,Netflix,1,Rotten Tomatoes,66
Great News,2017,7+,Netflix,1,Rotten Tomatoes,66
The Get Down,2016,16+,Netflix,1,Rotten Tomatoes,66
The Naked Director,2019,18+,Netflix,1,Rotten Tomatoes,66
Rise of Empires: Ottoman,2020,18+,Netflix,1,Rotten Tomatoes,66
Club de Cuervos,2015,18+,Netflix,1,Rotten Tomatoes,66
Toradora!,2008,16+,Netflix,1,Rotten Tomatoes,66
The Baby-Sitters Club,2020,7+,Netflix,1,Rotten Tomatoes,66
Carole & Tuesday,2019,7+,Netflix,1,Rotten Tomatoes,66
Van Helsing,2016,16+,Netflix,1,Rotten Tomatoes,66
The Night Shift,2014,16+,Netflix,1,Rotten Tomatoes,66
"Pablo Escobar, The Drug Lord",2012,18+,Netflix,1,Rotten Tomatoes,66
No Game No Life,2014,16+,Netflix,1,Rotten Tomatoes,66
The King: Eternal Monarch,2020,16+,Netflix,1,Rotten Tomatoes,66
Eden,2021,7+,Netflix,1,Rotten Tomatoes,65
Stateless,2020,16+,Netflix,1,Rotten Tomatoes,65
High Score,2020,16+,Netflix,1,Rotten Tomatoes,65
Dash & Lily,2020,7+,Netflix,1,Rotten Tomatoes,65
The Confession Tapes,2017,16+,Netflix,1,Rotten Tomatoes,65
Black Butler,2008,18+,Netflix,1,Rotten Tomatoes,65
The Rain,2018,18+,Netflix,1,Rotten Tomatoes,65
Love Is Blind,2020,18+,Netflix,1,Rotten Tomatoes,65
Trial by Media,2020,16+,Netflix,1,Rotten Tomatoes,65
Wormwood,2017,16+,Netflix,1,Rotten Tomatoes,65
Fear City: New York vs The Mafia,2020,18+,Netflix,1,Rotten Tomatoes,65
Sorjonen,2016,18+,Netflix,1,Rotten Tomatoes,65
Forged in Fire,2015,7+,Netflix,1,Rotten Tomatoes,65
Baby,2018,18+,Netflix,1,Rotten Tomatoes,65
The Disastrous Life of Saiki K.,2016,16+,Netflix,1,Rotten Tomatoes,65
The Innocence Files,2020,18+,Netflix,1,Rotten Tomatoes,65
BNA,2020,16+,Netflix,1,Rotten Tomatoes,65
The Mist,2017,16+,Netflix,1,Rotten Tomatoes,65
Halston,2021,18+,Netflix,1,Rotten Tomatoes,65
Shaun the Sheep,2007,all,Netflix,1,Rotten Tomatoes,65
The Universe,2007,16+,Netflix,1,Rotten Tomatoes,65
Self Made: Inspired by the Life of Madam C.J. Walker,2020,18+,Netflix,1,Rotten Tomatoes,65
Shtisel,2013,16+,Netflix,1,Rotten Tomatoes,65
The Boss Baby: Back in Business,2018,7+,Netflix,1,Rotten Tomatoes,65
Puella Magi Madoka Magica,2011,16+,Netflix,1,Rotten Tomatoes,65
Sinatra: All or Nothing at All,2015,7+,Netflix,1,Rotten Tomatoes,65
